label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12
2	1250 m^2	0.91	Oakland	Volleyball	-1.1242	1.5959	1200	1274	1257	0.1069	1521	biotechnology	721
5	451 m^2	-0.8472	Long Beach	running	0.6164	0.4964	-1328	329	-474	1.4402	1020	Electrical Engineering	-507
0	-1232 m^2	1.6729	Riverside	ice hockey	1.0341	0.1537	-376	1055	1052	0.6991	-765	computational media	124
2	702 m^2	-0.0621	Stockton	boxing, baseball	-0.4193	0.4083	746	1549	1844	0.5507	1896	Technology and Information Management	870
0	-339 m^2	1.4487	Chula Vista	ice hockey	0.6834	0.1259	326	1260	200	2.404	1900	Applied Mathematics	932
1	1161 m^2	1.6896	Santa Clarita	motor sports	0.23	0.7954	-545	2025	410	2.2944	1245	Computer Science	173
1	863 m^2	1.7911	Santa Clarita	motor sports	0.6011	0.4795	188	240	2050	0.2805	835	Computer Science	560
3	-721 m^2	0.0354	Modesto	football	-1.0671	0.3663	74	1127	852	0.6438	1012	bIOTECHNOLOGY	-285
2	-980 m^2	0.0079	Oakland	volleyball, boxing	1.204	0.4904	1795	-529	703	1.6116	30	Statistics	-670
1	681 m^2	0.5833	Santa Clarita	badminton	0.8901	1.4661	1355	-78	153	1.4712	1005	Computational Media	469
2	1142 m^2	1.2427	Santa Ana	volleyball	0.8714	0.3656	1168	-479	185	0.9875	3500	Games and Playable Media	574
5	1201 m^2	0.6358	Irvine	golf	-0.1537	1.445	70	994	1496	0.9479	-38	Electrical Engineering	274
1	-93 m^2	-0.4297	Santa Clarita	motor sports	0.9764	-0.4989	1316	176	1004	-0.1736	75	Computer Science	-31
0	306 m^2	1.2214	Riverside	soccer, basketball	1.6856	0.6652	87	-471	-623	1.1023	-1338	Computational Media	-229
4	-99 m^2	1.3047	San Francisco	badminton	1.238	-0.0145	216	3993	820	-0.0673	-76	Bioinformatics	1550
4	n/a	0.6049	Moreno Valley	badminton	1.9154	1.7289	1043	1387	1779	-0.3667	-113	Human Computer Interaction	166
1	2019 m^2	-0.0494	Santa Clarita	motor sports	0.258	0.2728	919	512	2384	1.3435	1238	Computer Science	355
0	1214 m^2	0.9065	Riverside	ice hockey	-0.2739	0.8793	262	2831	1792	1.1116	417	Computer Game Design	656
4	1370 m^2	0.8609	San Francisco	badminton	0.1521	0.0199	470	1280	2377	-0.1159	939	human computer interaction	273
1	1168 m^2	2.1091	Santa Clarita	motor sports	1.1861	-0.1827	-311	799	118	0.7207	810	Computer Science	312
3	1023 m^2	1.5609	Modesto	soccer, football	2.6322	1.5421	93	-778	-167	-1.2736	-1734	Biotechnology	1591
